2026-01-22 13:57:58 - Traceping daemon iniciado (PID: 418)
  Targets file: /config/Targets
  Interval: 300 segundos
  Retention: 365 días
  Timezone: Europe/Madrid
2026-01-22 13:57:58 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:00:10 - Ciclo completado. Esperando 300 segundos...
2026-01-22 14:05:10 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:07:10 - Ciclo completado. Esperando 300 segundos...
2026-01-22 14:12:10 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:14:18 - Ciclo completado. Esperando 300 segundos...
2026-01-22 14:19:18 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:21:20 - Ciclo completado. Esperando 300 segundos...
2026-01-22 14:26:20 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:28:34 - Ciclo completado. Esperando 300 segundos...
2026-01-22 14:33:34 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:35:53 - Ciclo completado. Esperando 300 segundos...
2026-01-22 14:40:53 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:43:00 - Ciclo completado. Esperando 300 segundos...
2026-01-22 14:48:00 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:50:02 - Ciclo completado. Esperando 300 segundos...
2026-01-22 14:55:02 - Ejecutando traceroutes para 68 targets...
2026-01-22 14:57:10 - Ciclo completado. Esperando 300 segundos...
2026-01-22 15:02:10 - Ejecutando traceroutes para 68 targets...
2026-01-22 15:04:25 - Ciclo completado. Esperando 300 segundos...
2026-01-22 15:09:25 - Ejecutando traceroutes para 68 targets...
2026-01-22 15:11:30 - Ciclo completado. Esperando 300 segundos...
2026-01-22 15:16:30 - Ejecutando traceroutes para 68 targets...
2026-01-22 15:18:43 - Ciclo completado. Esperando 300 segundos...
2026-01-22 15:23:43 - Ejecutando traceroutes para 68 targets...
2026-01-22 15:25:41 - Ciclo completado. Esperando 300 segundos...
2026-01-22 15:30:41 - Ejecutando traceroutes para 68 targets...
2026-01-22 15:32:49 - Ciclo completado. Esperando 300 segundos...
